Shipment_ID,Region,Transport_Mode,Priority,Distance_km,Shipment_Volume_kg,Traffic_Index,Weather_Risk_Index,Warehouse_Load_pct,Vehicle_Utilization_pct,Daily_Orders,Delivery_Time_days,Transportation_Cost,Promised_Days,Late_Flag
SHP1070,South,Road,Standard,314.9,465.8,76.4,23.6,40.7,75.8,315,9.23,400.69,5.0,1
SHP1071,North,Road,Express,119.3,195.6,43.2,10.3,52.8,59.0,304,4.34,146.53,3.5,1
SHP1072,South,Road,Standard,432.6,433.6,52.7,29.3,56.6,84.2,235,8.56,396.76,5.0,1
SHP1073,West,Air,Standard,225.4,543.7,51.9,27.8,45.4,60.7,190,5.64,458.25,5.0,1
SHP1074,North,Rail,Standard,111.9,453.0,31.8,22.8,57.7,63.9,169,8.3,260.54,5.0,1
SHP1075,North,Road,Standard,265.5,400.9,50.3,19.6,39.8,64.9,190,7.09,361.14,5.0,1
SHP1076,South,Road,Standard,311.9,365.6,79.1,19.8,53.7,71.1,245,10.07,359.77,5.0,1
SHP1077,South,Air,Standard,324.6,254.8,59.3,17.4,84.8,75.9,158,9.18,567.44,5.0,1
SHP1078,East,Road,Standard,20.0,369.2,30.8,23.1,73.7,77.8,259,8.38,106.46,5.0,1
SHP1079,East,Road,Express,20.0,569.0,27.0,18.2,70.6,71.9,349,6.9,162.64,3.5,1
SHP1080,West,Road,Standard,423.0,362.1,85.0,11.2,54.0,56.0,206,9.29,406.07,5.0,1
SHP1081,East,Road,Standard,87.7,246.5,53.4,9.6,46.5,80.7,123,5.56,190.94,5.0,1
SHP1082,South,Road,Standard,423.3,306.2,43.3,12.0,52.1,71.4,123,7.67,316.77,5.0,1
SHP1083,West,Road,Standard,444.9,410.1,50.1,19.8,67.4,85.9,260,8.78,385.92,5.0,1
SHP1084,North,Road,Standard,109.2,324.0,28.4,17.8,80.2,63.5,206,6.95,188.97,5.0,1
SHP1085,North,Rail,Express,124.6,452.8,80.6,19.7,80.6,52.8,267,8.14,226.27,3.5,1
SHP1086,North,Road,Express,365.0,458.4,47.9,22.0,76.8,71.6,175,8.15,386.49,3.5,1
SHP1087,East,Road,Standard,190.1,513.3,79.6,13.0,57.7,87.6,264,7.67,315.86,5.0,1
SHP1088,South,Air,Standard,481.3,593.5,55.9,29.7,68.3,73.9,200,7.31,607.69,5.0,1
SHP1089,North,Rail,Standard,555.1,529.4,80.7,15.9,63.5,69.6,162,14.0,535.35,5.0,1
SHP1090,South,Road,Standard,111.8,239.9,59.6,14.5,65.2,61.6,184,6.74,181.27,5.0,1
SHP1091,North,Road,Standard,145.6,244.5,70.4,21.9,96.5,93.1,132,6.64,196.94,5.0,1
SHP1092,East,Air,Standard,257.6,368.6,67.9,3.3,43.3,59.6,339,5.99,468.03,5.0,1
SHP1093,South,Road,Standard,45.3,312.3,66.2,11.7,64.7,63.3,204,7.62,166.15,5.0,1
SHP1094,South,Road,Standard,65.4,209.3,61.3,25.8,85.0,78.8,252,10.08,155.41,5.0,1
SHP1095,South,Air,Standard,134.9,313.7,50.8,4.1,47.5,49.7,175,4.44,428.29,5.0,0
SHP1096,East,Road,Standard,660.0,308.8,89.5,26.9,59.0,87.3,142,13.17,576.12,5.0,1
SHP1097,South,Rail,Standard,280.7,279.2,38.7,30.1,60.6,79.5,195,12.55,379.75,5.0,1
SHP1098,North,Road,Standard,161.1,332.6,55.1,15.0,64.9,82.8,282,4.72,196.0,5.0,0
SHP1099,North,Rail,Express,124.0,556.8,55.3,20.3,45.7,78.7,176,9.95,257.2,3.5,1
SHP1100,West,Road,Standard,108.3,409.9,62.2,27.0,76.3,70.1,153,10.63,248.64,5.0,1
SHP1101,West,Road,Standard,168.7,750.8,47.3,14.3,77.3,59.2,220,3.6,293.14,5.0,0
SHP1102,East,Road,Standard,162.6,405.6,60.7,24.9,75.1,70.3,242,9.3,227.78,5.0,1
SHP1103,South,Road,Express,211.2,336.5,52.0,12.6,55.8,60.3,317,5.91,283.34,3.5,1
SHP1104,West,Air,Standard,320.4,380.6,26.5,14.2,69.2,77.8,233,5.69,492.39,5.0,1
SHP1105,West,Road,Express,231.1,418.5,55.2,11.6,55.4,81.7,252,4.93,265.94,3.5,1
SHP1106,East,Road,Express,377.2,445.3,35.2,20.7,63.3,89.7,257,9.9,389.23,3.5,1
SHP1107,South,Rail,Standard,202.1,691.5,23.8,27.3,98.1,76.5,135,10.98,352.08,5.0,1
SHP1108,South,Rail,Standard,578.5,253.2,57.5,16.5,69.3,83.1,147,12.39,565.51,5.0,1
SHP1109,North,Road,Standard,372.1,508.9,63.8,7.8,51.4,68.4,140,8.45,413.24,5.0,1
SHP1110,West,Road,Express,276.3,411.2,64.5,9.3,70.5,66.3,123,7.02,347.05,3.5,1
SHP1111,South,Air,Standard,321.0,144.3,65.2,21.2,49.1,77.7,262,5.68,448.76,5.0,1
SHP1112,North,Rail,Express,171.6,495.6,20.2,32.8,51.2,67.4,229,5.16,268.23,3.5,1
SHP1113,South,Rail,Standard,209.2,570.1,30.5,21.1,53.4,75.2,215,13.01,255.45,5.0,1
SHP1114,East,Air,Standard,204.3,251.4,90.5,14.9,61.8,59.3,70,6.22,428.57,5.0,1
SHP1115,North,Rail,Standard,149.1,378.7,36.2,24.1,81.1,61.4,344,10.35,320.41,5.0,1
SHP1116,West,Road,Standard,95.7,121.2,66.0,16.1,76.1,79.6,152,5.61,177.24,5.0,1
SHP1117,West,Road,Standard,330.9,191.2,42.6,15.0,75.3,82.6,343,9.62,302.97,5.0,1
SHP1118,East,Road,Standard,410.6,537.2,56.4,10.3,52.6,60.2,116,12.94,454.91,5.0,1
SHP1119,South,Rail,Express,304.5,310.0,43.6,29.3,60.4,80.0,157,10.36,320.22,3.5,1
SHP1120,East,Air,Express,230.7,213.7,65.1,0.0,71.8,65.6,70,2.83,426.59,3.5,0
SHP1121,East,Road,Standard,700.0,414.4,57.5,24.4,59.2,72.2,234,11.82,649.23,5.0,1
SHP1122,East,Road,Standard,159.9,301.6,46.9,14.3,64.1,89.0,138,7.05,224.02,5.0,1
SHP1123,North,Road,Standard,281.7,309.4,36.1,14.7,74.2,81.7,140,7.45,241.43,5.0,1
SHP1124,South,Air,Express,443.6,490.9,59.8,31.5,63.1,81.6,121,4.67,616.51,3.5,1
SHP1125,North,Road,Standard,116.2,205.7,33.2,12.3,71.2,94.9,261,7.54,161.31,5.0,1
SHP1126,South,Road,Express,345.3,244.2,62.7,12.6,90.3,63.6,256,7.55,413.53,3.5,1
SHP1127,South,Road,Standard,599.4,403.1,95.0,17.0,65.6,60.2,328,14.0,549.02,5.0,1
SHP1128,North,Road,Standard,242.2,525.4,79.3,21.3,84.5,63.3,165,12.16,356.76,5.0,1
SHP1129,North,Road,Standard,267.3,565.7,67.9,14.5,75.8,68.9,224,8.81,391.18,5.0,1
SHP1130,East,Road,Standard,160.5,280.2,53.5,5.4,47.5,43.7,126,8.27,197.85,5.0,1
SHP1131,North,Road,Express,318.9,520.6,20.1,11.1,52.6,69.5,188,4.22,311.81,3.5,1
SHP1132,West,Road,Standard,146.7,262.4,31.2,28.3,56.3,65.5,176,7.08,210.9,5.0,1
SHP1133,East,Road,Standard,233.8,653.9,78.1,18.6,56.0,81.4,240,8.96,290.2,5.0,1
SHP1134,South,Road,Express,87.3,209.9,40.8,21.6,66.7,76.2,276,4.03,172.08,3.5,1
SHP1135,East,Road,Express,28.3,579.3,42.4,15.9,76.6,64.8,274,5.94,136.39,3.5,1
SHP1136,North,Rail,Express,181.1,281.5,52.0,12.7,85.6,79.1,155,7.51,266.9,3.5,1
SHP1137,West,Road,Standard,179.3,682.0,35.9,31.4,72.3,80.7,275,7.23,248.46,5.0,1
SHP1138,South,Road,Standard,190.9,468.7,32.9,16.5,61.8,62.8,207,9.32,242.71,5.0,1
SHP1139,West,Road,Express,365.8,227.6,54.1,14.5,38.8,66.1,189,4.98,370.7,3.5,1
SHP1140,North,Road,Standard,417.1,301.7,39.0,26.8,69.0,45.3,164,12.62,369.29,5.0,1
SHP1141,South,Road,Standard,288.6,497.2,41.7,12.2,68.4,58.9,174,7.04,296.64,5.0,1
SHP1142,South,Road,Express,351.5,537.9,40.9,13.2,70.6,63.1,323,11.18,356.32,3.5,1
SHP1143,West,Air,Standard,149.5,369.4,64.4,18.1,97.5,72.9,230,4.76,393.36,5.0,0
SHP1144,East,Road,Standard,126.8,386.7,50.8,18.0,85.4,60.7,221,9.07,192.84,5.0,1
SHP1145,South,Road,Express,322.6,493.8,51.8,20.1,79.0,65.8,193,7.76,359.46,3.5,1
SHP1146,South,Road,Standard,115.2,399.8,65.7,34.7,54.5,57.3,369,8.35,150.94,5.0,1
SHP1147,South,Road,Standard,106.5,186.0,52.4,20.7,60.8,74.1,295,8.76,159.28,5.0,1
SHP1148,East,Road,Standard,700.0,258.1,50.0,0.0,66.7,77.1,163,14.0,580.39,5.0,1
SHP1149,South,Rail,Standard,251.5,415.3,63.5,20.6,57.1,76.8,192,12.72,311.01,5.0,1
SHP1150,North,Rail,Standard,179.4,562.3,67.0,18.3,75.0,72.1,196,9.83,360.26,5.0,1
SHP1151,West,Road,Express,166.8,622.4,52.4,18.3,73.0,53.5,219,6.37,250.44,3.5,1
SHP1152,West,Road,Express,89.1,496.9,56.5,20.0,52.8,64.6,164,3.14,199.92,3.5,0
SHP1153,North,Road,Standard,285.1,423.1,40.9,17.8,84.8,67.1,239,7.68,292.05,5.0,1
SHP1154,East,Road,Standard,201.8,492.3,39.5,17.6,69.4,67.2,304,7.68,254.34,5.0,1
SHP1155,North,Rail,Express,410.5,280.0,68.8,22.9,43.8,72.9,125,8.97,403.97,3.5,1
SHP1156,East,Road,Standard,328.3,357.0,63.0,13.7,67.3,89.1,137,10.07,348.64,5.0,1
SHP1157,South,Road,Standard,197.7,256.4,63.2,10.4,71.9,81.7,179,5.26,227.6,5.0,1
SHP1158,East,Air,Standard,55.5,192.7,60.1,42.2,81.6,60.1,182,6.93,307.66,5.0,1
SHP1159,East,Road,Standard,251.9,430.0,55.8,12.3,63.3,80.1,340,12.05,210.59,5.0,1
SHP1160,West,Road,Standard,238.7,407.8,67.5,18.8,79.6,79.7,275,10.26,261.07,5.0,1
SHP1161,North,Rail,Standard,46.5,483.1,71.8,6.0,70.6,62.3,271,8.33,264.05,5.0,1
SHP1162,West,Road,Standard,307.1,461.9,71.4,18.9,49.6,82.2,193,5.89,382.56,5.0,1
SHP1163,North,Road,Standard,112.5,416.4,53.2,10.5,48.2,70.1,191,6.82,248.43,5.0,1
SHP1164,North,Road,Standard,422.4,463.5,80.0,14.5,83.7,55.1,116,7.31,488.27,5.0,1
SHP1165,East,Air,Standard,230.2,373.6,59.1,26.4,84.7,77.5,261,10.21,468.85,5.0,1
SHP1166,South,Road,Standard,163.9,441.9,66.4,21.8,72.5,74.6,242,8.44,234.62,5.0,1
SHP1167,West,Road,Standard,272.8,271.1,60.1,22.5,88.9,69.3,294,12.03,273.2,5.0,1
SHP1168,West,Road,Standard,263.1,435.5,59.4,3.8,82.8,71.6,196,5.54,351.52,5.0,1
SHP1169,South,Road,Standard,257.5,480.3,41.8,32.7,77.6,63.4,201,11.02,296.38,5.0,1
SHP1170,West,Rail,Standard,391.7,279.5,67.6,8.5,55.2,79.3,221,10.67,519.89,5.0,1
SHP1171,South,Road,Standard,282.5,387.8,95.0,30.2,92.2,71.5,268,10.95,341.15,5.0,1
SHP1172,South,Road,Express,154.7,286.5,48.3,26.2,75.5,74.0,114,4.18,288.43,3.5,1
SHP1173,South,Road,Standard,205.6,301.0,56.3,22.6,62.6,76.3,258,9.48,256.52,5.0,1
SHP1174,West,Rail,Express,506.0,211.3,47.0,11.2,58.6,58.1,209,11.3,534.73,3.5,1
SHP1175,North,Road,Express,145.9,569.9,46.2,19.2,71.6,61.3,141,8.42,286.54,3.5,1
SHP1176,North,Air,Standard,304.3,539.9,82.8,14.2,44.6,45.5,75,8.2,490.33,5.0,1
SHP1177,South,Road,Standard,399.7,460.6,42.9,18.2,77.8,78.8,201,9.48,373.78,5.0,1
SHP1178,West,Road,Express,321.1,675.8,46.5,16.0,54.7,57.5,304,5.65,316.18,3.5,1
SHP1179,West,Rail,Standard,252.8,351.6,26.4,1.7,73.2,73.6,319,7.6,261.98,5.0,1
SHP1180,East,Air,Standard,276.0,834.8,41.4,27.0,60.7,76.5,233,10.37,509.13,5.0,1
SHP1181,West,Road,Standard,332.6,345.9,24.2,17.4,64.3,79.2,338,7.15,315.14,5.0,1
SHP1182,West,Air,Standard,144.8,418.3,66.4,14.1,57.4,57.6,207,7.28,398.03,5.0,1
SHP1183,South,Road,Standard,239.7,320.3,95.0,13.5,65.7,71.2,272,10.47,340.55,5.0,1
SHP1184,South,Road,Express,700.0,435.8,48.4,20.9,94.5,92.0,181,12.52,533.52,3.5,1
SHP1185,West,Air,Express,309.6,505.3,25.0,10.8,87.4,92.6,177,4.02,520.88,3.5,1
SHP1186,East,Road,Standard,258.0,362.9,71.2,0.0,73.0,83.8,166,10.2,302.29,5.0,1
SHP1187,South,Rail,Standard,193.2,646.5,41.9,21.3,67.6,76.0,76,9.96,313.3,5.0,1
SHP1188,North,Road,Standard,145.8,415.9,78.4,22.2,79.8,59.9,294,8.35,269.32,5.0,1
SHP1189,East,Rail,Express,281.3,420.6,49.9,16.4,83.8,80.6,168,11.56,397.31,3.5,1
SHP1190,South,Road,Standard,292.5,243.7,43.6,8.8,56.4,70.1,158,7.95,302.92,5.0,1
SHP1191,West,Road,Express,230.3,442.8,51.8,18.7,66.9,78.7,133,4.39,208.21,3.5,1
SHP1192,North,Road,Express,700.0,359.9,68.6,6.3,42.5,64.4,197,11.08,614.57,3.5,1
SHP1193,North,Road,Standard,154.1,288.8,50.9,9.8,83.7,69.9,325,8.0,228.51,5.0,1
SHP1194,West,Road,Standard,131.6,263.5,46.1,12.0,96.9,74.0,346,8.51,164.25,5.0,1
SHP1195,North,Road,Express,194.9,780.8,51.4,24.8,69.1,75.0,102,5.5,281.91,3.5,1
SHP1196,North,Road,Standard,234.6,340.5,32.1,15.1,38.2,77.9,187,4.67,249.54,5.0,0
SHP1197,East,Road,Standard,141.0,161.5,62.1,14.4,76.5,65.0,143,11.04,168.69,5.0,1
SHP1198,West,Road,Express,277.4,275.3,22.8,33.6,55.3,55.9,274,8.65,302.82,3.5,1
SHP1199,North,Rail,Standard,294.7,372.3,47.0,20.8,58.7,91.5,229,11.7,333.46,5.0,1
SHP1200,South,Rail,Standard,354.8,462.0,68.7,20.7,76.8,100.0,169,11.65,404.22,5.0,1
SHP1201,West,Rail,Standard,176.1,463.2,60.5,15.0,71.6,77.4,215,9.04,273.41,5.0,1
SHP1202,West,Road,Standard,483.0,481.5,65.6,13.2,61.2,56.1,179,12.18,512.22,5.0,1
SHP1203,South,Air,Express,341.5,283.3,53.8,0.5,58.9,62.7,315,5.61,509.83,3.5,1
SHP1204,North,Road,Standard,152.1,431.1,76.1,25.7,69.8,78.1,246,7.27,253.36,5.0,1
SHP1205,North,Road,Standard,140.6,248.6,71.6,21.6,62.3,88.1,254,10.2,213.33,5.0,1
SHP1206,North,Road,Standard,203.0,287.1,63.0,16.6,52.5,57.4,70,6.96,281.78,5.0,1
SHP1207,North,Rail,Express,295.1,242.3,71.7,16.9,63.3,70.5,206,12.06,415.77,3.5,1
SHP1208,East,Road,Standard,319.7,201.7,68.5,23.9,72.8,74.4,345,9.12,367.79,5.0,1
SHP1209,North,Road,Express,341.2,539.6,47.1,5.6,65.5,82.4,296,8.17,383.09,3.5,1
SHP1210,South,Air,Standard,694.2,483.3,30.8,13.3,48.2,67.9,90,12.83,762.55,5.0,1
SHP1211,East,Road,Express,69.2,526.5,62.6,8.9,81.8,53.2,190,6.92,139.02,3.5,1
SHP1212,East,Road,Express,226.6,385.9,64.8,32.2,30.0,79.5,132,6.24,257.96,3.5,1
SHP1213,North,Air,Express,662.8,496.5,74.6,25.0,61.8,85.5,321,7.9,752.98,3.5,1
SHP1214,West,Road,Express,363.8,115.8,38.1,0.4,59.3,71.0,226,7.7,317.69,3.5,1
SHP1215,East,Road,Standard,126.3,509.5,38.7,5.9,70.1,76.9,160,6.43,166.46,5.0,1
SHP1216,East,Air,Express,269.4,406.6,63.3,16.9,75.9,66.3,212,6.69,411.99,3.5,1
SHP1217,North,Air,Standard,218.6,474.1,53.7,14.2,83.8,61.9,70,4.37,390.96,5.0,0
SHP1218,North,Road,Standard,214.0,437.0,21.1,7.4,58.0,84.3,139,8.59,234.52,5.0,1
SHP1219,West,Rail,Express,174.0,231.9,61.8,33.6,76.2,76.6,212,10.1,274.21,3.5,1
SHP1220,South,Road,Express,257.0,155.3,21.7,20.5,70.7,77.9,265,6.82,230.01,3.5,1
SHP1221,South,Road,Standard,434.7,273.2,38.0,21.8,44.0,90.0,84,7.04,402.55,5.0,1
SHP1222,South,Road,Standard,183.7,464.7,79.3,12.5,94.6,59.3,185,11.95,261.72,5.0,1
SHP1223,East,Road,Standard,342.6,483.5,87.8,23.8,47.9,65.4,276,10.53,431.78,5.0,1
SHP1224,West,Rail,Standard,376.0,174.8,33.1,15.0,73.9,73.9,116,8.62,379.47,5.0,1
SHP1225,South,Rail,Standard,480.8,232.8,49.1,15.7,73.5,65.2,225,10.73,498.31,5.0,1
SHP1226,West,Road,Standard,139.0,271.5,55.8,22.9,71.9,81.4,214,5.88,221.78,5.0,1
SHP1227,North,Road,Standard,245.3,326.4,87.1,5.0,61.1,69.8,321,6.66,269.04,5.0,1
SHP1228,East,Road,Standard,161.7,175.7,46.1,30.8,79.6,60.1,195,8.26,212.94,5.0,1
SHP1229,East,Air,Express,257.2,166.7,46.4,19.5,46.2,72.8,199,6.26,397.63,3.5,1
SHP1230,North,Road,Standard,256.3,256.7,82.9,28.2,67.1,74.0,266,8.77,314.18,5.0,1
SHP1231,North,Road,Express,117.2,392.9,48.3,9.4,60.1,83.2,124,4.84,173.66,3.5,1
SHP1232,South,Road,Standard,266.0,202.9,68.0,10.6,58.5,76.7,196,7.47,321.63,5.0,1
SHP1233,West,Road,Standard,700.0,362.6,28.4,8.7,74.0,77.5,180,11.38,529.53,5.0,1
SHP1234,East,Rail,Standard,320.4,538.8,51.9,20.0,83.1,75.8,201,14.0,384.72,5.0,1
SHP1235,West,Rail,Standard,101.4,184.7,25.1,18.5,63.2,69.7,265,7.49,211.78,5.0,1
SHP1236,West,Road,Express,133.5,349.0,36.0,14.3,78.9,63.4,246,5.84,229.12,3.5,1
SHP1237,South,Rail,Standard,238.1,533.7,70.1,9.9,68.7,75.5,161,8.64,317.6,5.0,1
SHP1238,West,Air,Standard,135.5,317.3,54.1,7.9,55.5,68.0,219,6.58,373.9,5.0,1
SHP1239,North,Road,Express,466.9,293.9,49.3,17.6,64.4,92.3,307,7.9,439.41,3.5,1
SHP1240,North,Road,Express,93.1,554.5,41.5,14.3,63.8,88.1,156,5.98,240.32,3.5,1
SHP1241,West,Road,Standard,321.6,334.1,51.0,12.5,58.2,79.6,219,7.68,286.14,5.0,1
SHP1242,West,Rail,Standard,79.5,545.7,60.4,30.4,74.0,76.5,197,10.0,196.58,5.0,1
SHP1243,North,Road,Standard,235.9,444.3,72.7,17.3,71.3,70.9,206,9.71,403.42,5.0,1
SHP1244,East,Road,Standard,122.9,328.6,10.0,28.2,45.7,56.9,104,6.03,156.06,5.0,1
SHP1245,East,Road,Standard,354.3,452.0,40.0,13.7,44.9,69.4,302,11.53,290.63,5.0,1
SHP1246,West,Air,Standard,424.8,428.1,57.9,20.0,73.9,73.2,160,6.66,559.08,5.0,1
SHP1247,East,Road,Express,294.6,533.1,53.2,17.6,56.6,74.8,277,9.51,235.66,3.5,1
SHP1248,South,Rail,Standard,435.5,297.7,62.3,4.4,72.2,77.6,170,11.88,466.95,5.0,1
SHP1249,South,Road,Standard,36.7,386.2,59.8,29.4,78.9,83.1,169,7.86,183.36,5.0,1
SHP1250,South,Air,Standard,264.1,370.8,49.5,16.9,50.2,63.7,289,6.35,427.64,5.0,1
