order_id,order_date,region,transport_mode,distance_km,shipment_volume_kg,promised_days,delivery_time_days,delay_days,transport_cost_inr,on_time
ORD0047,2026-03-01 13:53:01,West,Air,164.9,362.0,3,1.97,-1.03,11369,1
ORD0126,2026-03-01 20:57:16,West,Road,99.0,621.8,3,1.82,-1.18,7667,1
ORD0363,2026-03-02 00:08:22,East,Rail,123.1,830.7,4,2.73,-1.27,8296,1
ORD0204,2026-03-02 02:39:02,West,Air,279.7,426.7,2,1.49,-0.51,15079,1
ORD0338,2026-03-02 18:37:15,South,Road,227.6,667.1,3,2.39,-0.61,9533,1
ORD0113,2026-03-02 23:06:20,North,Road,65.6,481.4,3,2.09,-0.91,7902,1
ORD0187,2026-03-03 06:14:55,North,Road,241.9,726.2,3,2.22,-0.78,11519,1
ORD0396,2026-03-03 13:53:05,North,Rail,191.1,745.1,4,3.39,-0.61,7001,1
ORD0403,2026-03-03 17:25:52,North,Road,110.4,409.6,3,1.73,-1.27,6307,1
ORD0170,2026-03-04 12:20:18,West,Air,220.5,387.8,3,2.04,-0.96,11188,1
ORD0091,2026-03-04 16:05:09,West,Road,57.7,666.6,3,2.01,-0.99,6000,1
ORD0291,2026-03-05 09:40:47,West,Road,167.6,629.1,3,1.94,-1.06,8372,1
ORD0059,2026-03-05 15:42:00,East,Road,120.7,560.7,4,2.8,-1.2,6667,1
ORD0285,2026-03-05 15:51:46,East,Air,650.0,693.0,6,5.37,-0.63,28789,1
ORD0162,2026-03-05 20:13:09,North,Road,192.7,605.6,4,3.06,-0.94,9492,1
ORD0118,2026-03-05 20:33:29,West,Road,181.3,281.0,3,2.12,-0.88,6072,1
ORD0090,2026-03-06 07:53:39,East,Road,360.8,451.2,3,2.36,-0.64,15890,1
ORD0281,2026-03-06 18:11:48,East,Air,31.2,348.9,3,1.82,-1.18,7661,1
ORD0107,2026-03-06 18:33:31,North,Road,247.3,638.2,4,2.71,-1.29,14004,1
ORD0194,2026-03-07 10:37:17,East,Road,129.9,456.8,4,3.2,-0.8,7707,1
ORD0031,2026-03-07 13:33:09,East,Rail,172.7,817.9,5,3.79,-1.21,12202,1
ORD0282,2026-03-07 16:18:39,West,Road,41.6,718.5,4,2.37,-1.63,4454,1
ORD0235,2026-03-07 22:37:49,South,Air,322.7,414.0,3,2.44,-0.56,18022,1
ORD0448,2026-03-08 02:04:00,West,Road,182.5,864.5,3,2.08,-0.92,9461,1
ORD0268,2026-03-08 06:26:10,West,Rail,143.6,628.3,3,2.11,-0.89,7767,1
ORD0036,2026-03-08 11:17:46,East,Road,445.4,613.4,4,3.54,-0.46,15487,1
ORD0239,2026-03-09 09:16:24,West,Rail,230.5,444.7,3,2.29,-0.71,14267,1
ORD0415,2026-03-09 17:59:44,North,Road,68.9,738.8,2,2.0,0.0,5842,1
ORD0178,2026-03-10 03:46:34,West,Road,171.5,100.0,3,2.5,-0.5,8891,1
ORD0233,2026-03-10 05:39:04,East,Road,360.0,768.9,4,3.27,-0.73,13446,1
ORD0386,2026-03-10 19:49:54,East,Rail,165.0,518.7,3,2.27,-0.73,5699,1
ORD0024,2026-03-11 16:11:17,North,Road,193.5,831.5,2,1.5,-0.5,8862,1
ORD0376,2026-03-11 22:11:35,South,Road,153.9,393.4,4,2.98,-1.02,7033,1
ORD0125,2026-03-12 09:02:06,South,Rail,95.6,693.7,4,2.96,-1.04,7056,1
ORD0430,2026-03-12 15:58:45,East,Air,399.8,790.3,4,3.36,-0.64,21724,1
ORD0038,2026-03-12 18:16:30,West,Rail,332.4,284.6,5,4.3,-0.7,11399,1
ORD0175,2026-03-13 09:08:14,South,Rail,210.7,650.8,4,2.77,-1.23,10646,1
ORD0465,2026-03-13 22:17:04,East,Road,189.6,584.1,3,2.65,-0.35,9232,1
ORD0202,2026-03-13 22:43:24,West,Road,141.8,662.3,3,2.51,-0.49,8701,1
ORD0160,2026-03-14 06:43:55,West,Road,365.7,570.2,3,2.51,-0.49,14695,1
ORD0085,2026-03-14 08:04:19,East,Road,62.8,489.4,3,2.37,-0.63,4745,1
ORD0309,2026-03-15 01:55:27,North,Road,164.6,340.7,3,2.16,-0.84,6239,1
ORD0380,2026-03-15 04:42:47,East,Rail,244.6,564.6,5,4.16,-0.84,10953,1
ORD0467,2026-03-15 13:53:02,South,Rail,156.2,586.2,3,2.24,-0.76,7094,1
ORD0079,2026-03-16 01:13:06,East,Road,236.6,469.5,4,2.7,-1.3,6734,1
ORD0321,2026-03-16 02:53:23,North,Air,20.0,275.4,2,1.99,-0.01,11141,1
ORD0258,2026-03-16 04:31:47,South,Road,222.1,362.6,3,2.63,-0.37,9257,1
ORD0003,2026-03-16 08:16:28,West,Road,74.9,541.9,3,2.3,-0.7,3799,1
ORD0252,2026-03-16 17:41:34,North,Road,148.3,706.5,3,2.57,-0.43,6237,1
ORD0263,2026-03-17 01:15:31,West,Road,650.0,216.1,6,5.05,-0.95,23173,1
ORD0181,2026-03-17 08:27:05,South,Air,290.0,573.9,3,2.21,-0.79,20229,1
ORD0475,2026-03-17 18:12:15,East,Rail,188.4,503.8,4,3.28,-0.72,5564,1
ORD0004,2026-03-17 19:37:14,West,Rail,162.2,599.4,4,2.95,-1.05,11523,1
ORD0130,2026-03-17 21:09:28,South,Air,372.9,477.2,4,2.96,-1.04,18630,1
ORD0365,2026-03-17 22:30:00,East,Road,225.7,782.9,3,2.67,-0.33,9224,1
ORD0284,2026-03-18 11:54:40,West,Road,108.9,630.6,3,2.53,-0.47,5881,1
ORD0061,2026-03-18 20:41:53,South,Rail,128.6,545.9,4,2.37,-1.63,7445,1
ORD0301,2026-03-19 01:58:28,West,Road,75.5,878.6,3,2.1,-0.9,6060,1
ORD0366,2026-03-19 05:10:58,East,Road,171.0,410.5,3,2.34,-0.66,7030,1
ORD0227,2026-03-19 13:12:59,South,Road,127.0,456.7,3,2.0,-1.0,9953,1
ORD0208,2026-03-19 15:02:51,West,Road,220.9,284.4,2,2.06,0.06,13086,0
ORD0121,2026-03-19 19:42:51,West,Road,197.1,625.1,2,2.19,0.19,10777,0
ORD0413,2026-03-19 21:41:26,West,Air,165.6,768.9,2,1.0,-1.0,13054,1
ORD0476,2026-03-21 04:39:45,South,Rail,70.7,508.4,3,2.53,-0.47,6624,1
ORD0229,2026-03-21 09:33:26,East,Air,50.8,676.2,2,1.44,-0.56,7297,1
ORD0177,2026-03-21 22:32:06,West,Road,91.2,592.5,3,2.38,-0.62,6694,1
ORD0237,2026-03-21 23:02:11,East,Rail,131.4,580.5,4,3.23,-0.77,9795,1
ORD0174,2026-03-22 00:42:30,West,Road,203.1,523.6,3,2.27,-0.73,9091,1
ORD0401,2026-03-22 04:27:20,North,Road,344.2,796.7,3,3.14,0.14,10840,0
ORD0135,2026-03-22 07:48:39,South,Road,173.4,743.1,2,1.31,-0.69,10293,1
ORD0457,2026-03-22 18:44:11,East,Road,115.3,428.9,3,2.28,-0.72,4606,1
ORD0200,2026-03-23 18:25:46,West,Road,43.6,960.6,3,2.42,-0.58,5656,1
ORD0272,2026-03-23 20:38:15,North,Road,362.3,503.4,4,3.35,-0.65,11708,1
ORD0298,2026-03-24 05:07:10,East,Rail,70.9,408.5,2,1.81,-0.19,6130,1
ORD0153,2026-03-24 12:35:44,West,Air,246.4,448.9,2,2.07,0.07,17466,0
ORD0013,2026-03-25 09:10:12,West,Rail,107.1,360.3,3,2.2,-0.8,6537,1
ORD0250,2026-03-25 09:32:27,West,Road,297.6,694.5,4,3.38,-0.62,12423,1
ORD0443,2026-03-26 02:16:35,West,Road,158.0,397.3,3,2.43,-0.57,6038,1
ORD0095,2026-03-26 06:36:09,South,Road,169.9,260.8,4,3.13,-0.87,6894,1
ORD0350,2026-03-26 11:41:35,South,Air,301.7,540.6,4,2.73,-1.27,11717,1
ORD0498,2026-03-26 16:02:40,East,Road,244.5,949.7,4,3.42,-0.58,9964,1
ORD0406,2026-03-26 19:35:41,East,Road,119.9,858.0,2,1.0,-1.0,4492,1
ORD0316,2026-03-27 03:15:40,South,Air,144.2,615.7,2,2.08,0.08,10544,0
ORD0019,2026-03-27 16:54:12,South,Road,303.9,427.8,4,3.41,-0.59,10517,1
ORD0486,2026-03-27 19:10:23,South,Road,35.3,437.7,3,2.1,-0.9,2530,1
ORD0273,2026-03-28 00:48:16,West,Road,103.6,669.4,3,2.09,-0.91,5539,1
ORD0142,2026-03-28 10:49:04,North,Road,458.3,216.7,5,3.89,-1.11,17336,1
ORD0319,2026-03-28 12:05:15,North,Road,426.5,694.6,4,3.64,-0.36,18240,1
ORD0180,2026-03-29 11:29:18,West,Air,164.9,302.9,3,1.71,-1.29,11018,1
ORD0488,2026-03-30 02:47:49,West,Road,122.4,235.6,2,1.56,-0.44,5636,1
ORD0336,2026-03-30 02:48:07,North,Air,126.8,284.2,2,1.0,-1.0,10591,1
ORD0265,2026-03-30 14:21:49,West,Road,219.4,756.4,3,2.29,-0.71,11573,1
ORD0320,2026-03-30 15:20:26,North,Road,136.8,453.2,3,1.9,-1.1,4948,1
ORD0280,2026-03-31 12:21:42,East,Road,47.0,575.8,2,1.45,-0.55,2616,1
ORD0424,2026-03-31 14:02:21,South,Road,199.0,719.9,3,2.21,-0.79,13910,1
ORD0462,2026-04-01 00:41:24,North,Road,94.2,1018.9,2,2.04,0.04,3892,0
ORD0114,2026-04-01 08:41:53,East,Rail,308.1,585.9,4,3.28,-0.72,11790,1
ORD0183,2026-04-02 07:02:19,West,Road,52.8,308.4,2,1.48,-0.52,4783,1
ORD0433,2026-04-02 14:14:57,East,Rail,177.4,910.3,4,3.15,-0.85,8182,1
ORD0190,2026-04-03 06:16:19,South,Road,58.8,559.9,3,2.11,-0.89,3647,1
ORD0395,2026-04-03 09:37:21,East,Road,239.4,494.7,5,4.04,-0.96,10900,1
ORD0158,2026-04-03 10:53:24,East,Road,370.4,584.9,6,4.85,-1.15,14549,1
ORD0500,2026-04-04 10:37:41,West,Road,157.4,881.8,3,1.96,-1.04,11645,1
ORD0485,2026-04-04 19:50:09,East,Road,384.8,254.5,4,3.63,-0.37,12104,1
ORD0417,2026-04-05 13:35:28,West,Road,314.0,351.1,3,2.34,-0.66,8620,1
ORD0053,2026-04-06 09:38:00,East,Rail,355.0,434.6,5,4.49,-0.51,12816,1
ORD0221,2026-04-07 03:21:01,West,Road,597.4,460.8,4,3.65,-0.35,19434,1
